name,location,room_type,price
THE　SHINRA　森羅,千葉県／館山市,2名,"41,980円～"
鴨川館,千葉県／鴨川,2名,"28,028円～"
浦安ブライトンホテル東京ベイ,千葉県／新浦安,2名,"20,970円～"
ホテルオークラ東京ベイ,千葉県／舞浜,2名,"23,824円～"
ISHINOYA　熱海　／　石のや　熱海,静岡県／熱海,2名,"38,808円～"
熱海・伊豆山 佳ら久（オリックス ホテルズ＆リゾーツ）,静岡県／熱海・伊豆山,2名,"73,260円～"
熱海パールスターホテル,静岡県／熱海,2名,"53,612円～"
あたみ石亭,静岡県／熱海,2名,"43,120円～"
南熱海網代山温泉　竹林庵みずの,静岡県／南熱海　網代山温泉,2名,"86,240円～"
横山大観ゆかりの宿 熱海 大観荘,静岡県／熱海,2名,"40,656円～"
ホテルハーヴェスト熱海伊豆山,静岡県／熱海市,2名,"46,060円～"
Rakuten STAY 熱海,静岡県／熱海市,2名,"22,056円～"
源泉湯宿　大成館（TAISEIKAN）,静岡県／熱海網代温泉,2名,"16,170円～"
熱海倶楽部迎賓館,静岡県／熱海,2名,"68,992円～"
ホテルグランヴィア京都,京都府／JR京都駅直結,2名,"21,650円～"
ホテル カンラ 京都,京都府／京都駅周辺,2名,"19,710円～"
四条河原町温泉 空庭テラス京都 別邸,京都府／河原町,2名,"46,795円～"
ザ・ホテル青龍 京都清水（The Hotel Seiryu Kyoto Kiyomizu）,京都府／清水五条,2名,"89,566円～"
京都ブライトンホテル,京都府／京都御所より徒歩5分,2名,"17,010円～"
ザ・ゲートホテル京都高瀬川 by HULIC,京都府／河原町,2名,"16,268円～"
ザ・サウザンド京都,京都府／京都駅前,2名,"30,668円～"
バンヤンツリー・東山 京都,京都府／京都市,2名,"158,270円～"
ホテルオークラ京都 岡崎別邸,京都府／左京区,2名,"34,164円～"
クロスホテル京都（オリックス ホテルズ＆リゾーツ）,京都府／京都市三条駅6番出口徒歩4分,2名,"18,742円～"
